"","prod_type_st","prod_type_lvl","statesid","cash_tt","EjV"
"289","A9779",9779,5349,53.8630814963663,-0.195601824330064
"290","A9779",9779,5364,66.1061105740157,-0.0247493783350855
"291","A9779",9779,5475,37.7223292020286,-0.499713739782397
"292","A9779",9779,5769,34.3315870911024,-0.581298481491629
"293","A9779",9779,5962,60.1029858860212,-0.103747973755349
"294","A9779",9779,5991,93.4498074854585,0.2493380723495
"295","A9779",9779,6170,8.25826577668929,-1.85339738815175
"296","A9779",9779,6737,85.5442029651306,0.184107322807719
"297","A9779",9779,6746,96.0114848941502,0.268164791336519
"298","A9779",9779,6988,41.3745185036723,-0.420234632920362
"299","A9779",9779,7067,7.3120133847751,-1.963966611215
"300","A9779",9779,7081,11.1516070547951,-1.58091851520016
